Date,weekly runoff
2019-01-06,33.598583
2019-01-13,31.882038
2019-01-20,19.310213
2019-01-27,5.357616
2019-02-03,23.98757
2019-02-10,34.84429
2019-02-17,29.697353
2019-02-24,21.015501
2019-03-03,14.887549
2019-03-10,10.770713
2019-03-17,10.68794
2019-03-24,13.314658
2019-03-31,15.94453
2019-04-07,17.211035
2019-04-14,17.340353
2019-04-21,16.708538
2019-04-28,15.873424
2019-05-05,15.336051
2019-05-12,15.243034
2019-05-19,15.426689
2019-05-26,15.68327
2019-06-02,15.869865
2019-06-09,15.92822
2019-06-16,15.882658
2019-06-23,15.8003845
2019-06-30,15.73588
2019-07-07,15.710801
2019-07-14,15.719973
2019-07-21,15.744908
2019-07-28,15.76718
2019-08-04,15.777463
2019-08-11,15.776146
2019-08-18,15.768806
2019-08-25,15.761388
2019-09-01,15.757376
2019-09-08,15.757201
2019-09-15,15.759305
2019-09-22,15.761735
2019-09-29,15.763224
2019-10-06,15.76348
2019-10-13,15.76291
2019-10-20,15.762129
2019-10-27,15.761591
2019-11-03,15.761444
2019-11-10,15.761588
2019-11-17,15.761833
2019-11-24,15.762023
2019-12-01,15.762091
2019-12-08,15.762058
2019-12-15,15.761984
2019-12-22,15.761919
2019-12-29,15.761889
2020-01-05,15.761895
2020-01-12,15.761917
2020-01-19,15.761939
2020-01-26,15.761951
2020-02-02,15.761951
2020-02-09,15.761944
2020-02-16,15.761937
2020-02-23,15.761932
2020-03-01,15.761932
2020-03-08,15.761933
2020-03-15,15.761936
2020-03-22,15.761938
2020-03-29,15.761938
2020-04-05,15.761938
2020-04-12,15.761937
2020-04-19,15.761937
2020-04-26,15.761936
2020-05-03,15.761936
2020-05-10,15.761937
2020-05-17,15.761937
2020-05-24,15.761937
2020-05-31,15.761937
2020-06-07,15.761937
2020-06-14,15.761937
2020-06-21,15.761937
2020-06-28,15.761937
2020-07-05,15.761937
2020-07-12,15.761937
2020-07-19,15.761937
2020-07-26,15.761937
2020-08-02,15.761937
2020-08-09,15.761937
2020-08-16,15.761937
2020-08-23,15.761937
2020-08-30,15.761937
2020-09-06,15.761937
2020-09-13,15.761937
2020-09-20,15.761937
2020-09-27,15.761937
2020-10-04,15.761937
2020-10-11,15.761937
2020-10-18,15.761937
2020-10-25,15.761937
2020-11-01,15.761937
2020-11-08,15.761937
2020-11-15,15.761937
2020-11-22,15.761937
2020-11-29,15.761937
2020-12-06,15.761937
2020-12-13,15.761937
2020-12-20,15.761937
2020-12-27,15.761937
2021-01-03,15.761937
2021-01-10,15.761937
2021-01-17,15.761937
2021-01-24,15.761937
2021-01-31,15.761937
2021-02-07,15.761937
2021-02-14,15.761937
2021-02-21,15.761937
2021-02-28,15.761937
2021-03-07,15.761937
2021-03-14,15.761937
2021-03-21,15.761937
2021-03-28,15.761937
2021-04-04,15.761937
2021-04-11,15.761937
2021-04-18,15.761937
2021-04-25,15.761937
2021-05-02,15.761937
2021-05-09,15.761937
2021-05-16,15.761937
2021-05-23,15.761937
2021-05-30,15.761937
2021-06-06,15.761937
2021-06-13,15.761937
2021-06-20,15.761937
2021-06-27,15.761937
2021-07-04,15.761937
2021-07-11,15.761937
2021-07-18,15.761937
2021-07-25,15.761937
2021-08-01,15.761937
2021-08-08,15.761937
2021-08-15,15.761937
2021-08-22,15.761937
2021-08-29,15.761937
2021-09-05,15.761937
2021-09-12,15.761937
2021-09-19,15.761937
2021-09-26,15.761937
2021-10-03,15.761937
2021-10-10,15.761937
2021-10-17,15.761937
2021-10-24,15.761937
2021-10-31,15.761937
2021-11-07,15.761937
2021-11-14,15.761937
2021-11-21,15.761937
2021-11-28,15.761937
2021-12-05,15.761937
2021-12-12,15.761937
2021-12-19,15.761937
2021-12-26,15.761937
2022-01-02,15.761937
2022-01-09,15.761937
2022-01-16,15.761937
2022-01-23,15.761937
2022-01-30,15.761937
2022-02-06,15.761937
2022-02-13,15.761937
